,iso3_country,country_name,2015,2016,2017,2018,2019,2020,2021,tCO2_2015,tCO2_2016,tCO2_2017,tCO2_2018,tCO2_2019,Mean_CH4,Total_CH4,Mean_CO2,Total_CO2
0,BGD,Bangladesh,1131293.4,1093480.4,1154531.0,1144591.0,1144745.4,,,28282334.999999996,27337009.999999996,28863275.0,28614775.0,28618634.999999996,1133728.2399999998,5668641.199999999,28343206.0,141716030.0
1,BRA,Brazil,138910.30000000002,126278.2,130322.90000000001,121615.2,111084.8,,,3472757.5000000005,3156955.0,3258072.5,3040380.0,2777120.0,125642.28,628211.4,3141057.0,15705285.0
2,CHN,China,5406593.899999999,5399920.0,5400129.0,5302173.1,5214454.7,,,135164847.5,134998000.0,135003225.0,132554327.49999999,130361367.5,5344654.14,26723270.7,133616353.5,668081767.5
3,ESP,Spain,55082.2,55073.1,54232.4,52925.0,52098.5,,,1377055.0,1376827.5,1355810.0,1323125.0,1302462.5,53882.23999999999,269411.19999999995,1347056.0,6735280.0
4,IDN,Indonesia,2407953.5,2387656.4,2425290.5999999996,2405613.8000000003,2257604.3,,,60198837.5,59691410.0,60632264.99999999,60140345.00000001,56440107.49999999,2376823.72,11884118.600000001,59420593.0,297102965.0
5,IND,India,4580248.4,4559136.4,4620790.8,4661154.9,4621416.8,,,114506210.00000001,113978410.00000001,115519770.0,116528872.50000001,115535420.0,4608549.46,23042747.3,115213736.5,576068682.5
6,IRN,Iran (Islamic Republic of),116486.7,131008.5,87233.59999999999,93936.6,96103.4,,,2912167.5,3275212.5,2180840.0,2348415.0,2402585.0,104953.76000000001,524768.8,2623844.0,13119220.0
7,ITA,Italy,114574.8,118003.0,118003.0,109463.8,110895.1,,,2864370.0,2950075.0,2950075.0,2736595.0,2772377.5,114187.93999999999,570939.7,2854698.5,14273492.5
8,JPN,Japan,330353.1,326403.0,323700.30000000005,322245.0,320581.8,,,8258827.499999999,8160075.0,8092507.500000001,8056125.0,8014545.0,324656.64,1623283.2,8116416.0,40582080.0
9,KHM,Cambodia,436826.0,459003.10000000003,473745.3,479362.7,468378.89999999997,,,10920650.0,11475077.5,11843632.5,11984067.5,11709472.5,463463.2,2317316.0,11586580.0,57932900.0
10,KOR,Korea (the Republic of),167862.2,163534.1,158489.7,154911.30000000002,153260.9,,,4196555.0,4088352.5,3962242.5000000005,3872782.5000000005,3831522.5,159611.64,798058.2000000001,3990291.0,19951455.0
11,LAO,Lao People's Democratic Republic (the),94826.8,95630.0,93940.70000000001,83333.6,77005.5,,,2370670.0,2390750.0,2348517.5000000005,2083340.0000000002,1925137.5,88947.31999999999,444736.6,2223683.0,11118415.0
12,LKA,Sri Lanka,132640.0,121756.3,84456.3,111049.0,102156.3,,,3316000.0,3043907.5,2111407.5,2776225.0,2553907.5,110411.58,552057.9,2760289.5,13801447.5
13,MMR,Myanmar,1059409.5999999999,1052287.7000000002,1087029.5,1118850.0,1083100.3,,,26485239.999999996,26307192.500000004,27175737.5,27971250.0,27077507.5,1080135.42,5400677.1,27003385.5,135016927.5
14,MYS,Malaysia,121942.6,123232.8,122656.3,125238.5,122453.8,,,3048565.0,3080820.0,3066407.5,3130962.5,3061345.0,123104.8,615524.0,3077620.0,15388100.0
15,NPL,Nepal,149262.2,142723.7,162574.6,153890.80000000002,156215.4,,,3731555.0000000005,3568092.5000000005,4064365.0,3847270.0000000005,3905385.0,152933.34000000003,764666.7000000001,3823333.5,19116667.5
16,PAK,Pakistan,383529.3,381361.8,406083.3,393404.2,424755.10000000003,,,9588232.5,9534045.0,10152082.5,9835105.0,10618877.5,397826.74,1989133.7,9945668.5,49728342.5
17,PHL,Philippines (the),1557810.6,1524292.5,1609862.5,1606047.8,1556225.8,,,38945265.0,38107312.5,40246562.5,40151195.0,38905645.0,1570847.8399999999,7854239.199999999,39271196.0,196355980.0
18,PRK,Korea (the Democratic People's Republic of),82823.3,83442.3,84596.2,83943.29999999999,82937.0,,,2070582.5,2086057.5,2114905.0,2098582.4999999995,2073425.0,83548.42,417742.1,2088710.5,10443552.5
19,THA,Thailand,1554254.0,1703327.7,1714465.6,1702989.1,1553835.5,,,38856350.0,42583192.5,42861640.0,42574727.5,38845887.5,1645774.3800000001,8228871.9,41144359.5,205721797.5
20,TWN,Taiwan (Province of China),45838.700000000004,49838.299999999996,49991.2,49414.1,49152.0,,,1145967.5,1245957.5,1249780.0,1235352.5,1228800.0,48846.86,244234.30000000002,1221171.5,6105857.5
21,USA,United States of America (the),364728.0,438662.0,336255.5,412177.5,350136.5,,,9118200.0,10966550.0,8406387.5,10304437.5,8753412.5,380391.9,1901959.5,9509797.5,47548987.5
22,VNM,Viet Nam,1381744.4000000001,1365173.8,1360551.6,1336231.2,1318431.1,,,34543610.0,34129345.0,34013790.0,33405780.0,32960777.500000004,1352426.42,6762132.1,33810660.5,169053302.5
23,,Total,23829993.999999996,23917225.1,24075931.89999999,24042561.500000004,23446028.900000006,,,595749849.9999999,597930627.5,601898297.4999998,601064037.5000001,586150722.5000001,23862348.279999997,119311741.39999999,596558707.0,2982793535.0
24,,mean,948478.0,952227.1782608696,959083.995652174,957589.6304347828,931609.952173913,,,23711950.0,23805679.45652174,23977099.891304348,23939740.760869566,23290248.804347824,949797.7513043478,4748988.756521739,23744943.782608695,118724718.91304347
