,iso3_country,country_name_FAOSTAT,2015,2016,2017,2018,2019,tCO2_2015_FAOSTAT,tCO2_2016_FAOSTAT,tCO2_2017_FAOSTAT,tCO2_2018_FAOSTAT,tCO2_2019_FAOSTAT,Mean_CH4_FAOSTAT,Total_CH4_FAOSTAT,Mean_CO2_FAOSTAT,Total_CO2_FAOSTAT,country_name_TRACE,tCH4_2015,tCH4_2016,tCH4_2017,tCH4_2018,tCH4_2019,tCO2_2015_TRACE,tCO2_2016_TRACE,tCO2_2017_TRACE,tCO2_2018_TRACE,tCO2_2019_TRACE,Mean_CH4_TRACE,Total_CH4_TRACE,Mean_CO2_TRACE,Total_CO2_TRACE,CH4_diff_2015,CH4_diff_2016,CH4_diff_2017,CH4_diff_2018,CH4_diff_2019,CH4_diff_means,CH4_diff_totals,CO2_diff_2015,CO2_diff_2016,CO2_diff_2017,CO2_diff_2018,CO2_diff_2019,CO2_diff_means,CO2_diff_totals,CH4_abs_percent_diff_2015,CH4_abs_percent_diff_2016,CH4_abs_percent_diff_2017,CH4_abs_percent_diff_2018,CH4_abs_percent_diff_2019,CH4_abs_percent_diff_means,CH4_abs_percent_diff_totals,CH4_relative_percent_diff_2015,CH4_relative_percent_diff_2016,CH4_relative_percent_diff_2017,CH4_relative_percent_diff_2018,CH4_relative_percent_diff_2019,CH4_relative_percent_diff_means,CH4_relative_percent_diff_totals,CO2_abs_percent_diff_2015,CO2_abs_percent_diff_2016,CO2_abs_percent_diff_2017,CO2_abs_percent_diff_2018,CO2_abs_percent_diff_2019,CO2_abs_percent_diff_means,CO2_abs_percent_diff_totals,CO2_relative_percent_diff_2015,CO2_relative_percent_diff_2016,CO2_relative_percent_diff_2017,CO2_relative_percent_diff_2018,CO2_relative_percent_diff_2019,CO2_relative_percent_diff_means,CO2_relative_percent_diff_totals
0,BGD,Bangladesh,1131293.4,1093480.4,1154531.0,1144591.0,1144745.4,28282334.999999996,27337009.999999996,28863275.0,28614775.0,28618634.999999996,1133728.2399999998,5668641.199999999,28343206.0,141716030.0,Bangladesh,2344419.70084646,2278158.04150311,2098957.60199996,2141230.52594916,2070985.05160012,58610492.521161504,56953951.03757775,52473940.049999,53530763.148729004,51774626.290003,2186750.1843797625,10933750.921898812,54668754.609494045,273343773.0474702,-1213126.3008464603,-1184677.64150311,-944426.6019999599,-996639.5259491601,-926239.6516001201,-1053021.9443797627,-5265109.721898813,-30328157.521161508,-29616941.037577752,-23610665.049999,-24915988.148729004,-23155991.290003005,-26325548.609494045,-131627743.04747021,69.80589396466704,70.27311273476697,58.05624162441566,60.66303468270483,57.60679668529004,63.4259169792051,63.42591697920509,-107.23357007531914,-108.34008926937422,-81.80175343927188,-87.0738565958635,-80.91228421622138,-92.8813367460762,-92.88133674607617,69.80589396466705,70.27311273476697,58.05624162441566,60.66303468270484,57.60679668529004,63.42591697920504,63.42591697920504,-107.23357007531915,-108.34008926937422,-81.80175343927188,-87.07385659586352,-80.91228421622138,-92.88133674607609,-92.88133674607609
1,BRA,Brazil,138910.30000000002,126278.2,130322.90000000001,121615.2,111084.8,3472757.5000000005,3156955.0,3258072.5,3040380.0,2777120.0,125642.28,628211.4,3141057.0,15705285.0,Brazil,341023.338426562,310418.930649376,372517.34891634,371702.982900632,329471.322929983,8525583.46066405,7760473.2662344,9312933.722908499,9292574.5725158,8236783.073249576,345026.7847645786,1725133.923822893,8625669.619114466,43128348.09557233,-202113.038426562,-184140.730649376,-242194.44891633996,-250087.782900632,-218386.52292998304,-219384.50476457863,-1096922.523822893,-5052825.960664051,-4603518.2662344,-6054861.222908499,-6252194.572515801,-5459663.073249576,-5484612.619114466,-27423063.09557233,84.22541045015276,84.33338244084894,96.33057394999223,101.39005273641277,99.14129508747784,93.22240240042603,93.22240240042599,-145.49895754782904,-145.82147247060539,-185.84181975411838,-205.63859032475546,-196.5944241966345,-174.6104136000864,-174.61041360008636,84.22541045015278,84.33338244084894,96.33057394999224,101.39005273641277,99.14129508747784,93.22240240042603,93.22240240042603,-145.49895754782906,-145.82147247060539,-185.84181975411838,-205.63859032475546,-196.5944241966345,-174.6104136000864,-174.6104136000864
2,CHN,China,5406593.899999999,5399920.0,5400129.0,5302173.1,5214454.7,135164847.5,134998000.0,135003225.0,132554327.49999999,130361367.5,5344654.14,26723270.7,133616353.5,668081767.5,China,6133647.08700917,5859531.0647539,6355070.99336478,5413962.32801064,5603351.86089464,153341177.17522925,146488276.61884752,158876774.8341195,135349058.200266,140083796.522366,5873112.666806626,29365563.33403313,146827816.6701657,734139083.3508284,-727053.1870091707,-459611.0647539003,-954941.9933647802,-111789.22801064048,-388897.1608946398,-528458.5268066265,-2642292.6340331323,-18176329.67522925,-11490276.61884752,-23873549.8341195,-2794730.7002660185,-9722429.022365987,-13211463.170165688,-66057315.85082841,12.600312035556504,8.164004836659345,16.247141586766656,2.0863720650345163,7.189944813775219,9.421813377079165,9.421813377079163,-13.447527231685937,-8.511442109399773,-17.683688544565886,-2.108366247240032,-7.458060013344056,-9.887609431105798,-9.887609431105798,12.600312035556497,8.164004836659354,16.247141586766652,2.0863720650345208,7.189944813775215,9.421813377079182,9.421813377079177,-13.447527231685925,-8.511442109399784,-17.68368854456588,-2.108366247240037,-7.458060013344051,-9.887609431105817,-9.887609431105814
3,ESP,Spain,55082.2,55073.1,54232.4,52925.0,52098.5,1377055.0,1376827.5,1355810.0,1323125.0,1302462.5,53882.23999999999,269411.19999999995,1347056.0,6735280.0,Spain,11414.6449114045,13348.0262428382,12172.9908586005,14054.0971719056,11483.2380129669,285366.12278511253,333700.656070955,304324.7714650125,351352.42929764,287080.9503241725,12494.599439543139,62472.9971977157,312364.98598857847,1561824.9299428924,43667.555088595494,41725.0737571618,42059.409141399505,38870.902828094404,40615.2619870331,41387.64056045685,206938.20280228427,1091688.8772148874,1043126.843929045,1051485.2285349874,971772.57070236,1015381.5496758275,1034691.0140114215,5173455.070057107,131.3372240345386,121.96546899585495,126.67468287614838,116.06875717757157,127.75763373674998,124.70506553163997,124.70506553163997,79.2770715196479,75.76307445406523,77.55402516097297,73.44525805969656,77.95860147035538,76.8112843127102,76.8112843127102,131.3372240345386,121.96546899585495,126.67468287614835,116.06875717757154,127.75763373675,124.70506553163996,124.70506553163996,79.2770715196479,75.76307445406523,77.55402516097296,73.44525805969656,77.95860147035538,76.8112843127102,76.8112843127102
4,IDN,Indonesia,2407953.5,2387656.4,2425290.5999999996,2405613.8000000003,2257604.3,60198837.5,59691410.0,60632264.99999999,60140345.00000001,56440107.49999999,2376823.72,11884118.600000001,59420593.0,297102965.0,Indonesia,1283648.81036818,1023129.48435377,961532.743914078,1176981.53718328,1266667.87294257,32091220.2592045,25578237.10884425,24038318.59785195,29424538.429582004,31666696.823564246,1142392.0897523756,5711960.448761878,28559802.24380939,142799011.21904695,1124304.68963182,1364526.9156462299,1463757.8560859216,1228632.2628167202,990936.4270574299,1234431.6302476246,6172158.151238124,28107617.2407955,34113172.89115575,36593946.40214804,30715806.570418004,24773410.676435746,30860790.75619061,154303953.78095305,60.911473940414126,80.01246410134961,86.43839417938396,68.58895003099622,56.2349545341757,70.15378976343503,70.15378976343504,46.69129572609354,57.149216095173074,60.353916189916454,51.073545671242826,43.89327337201785,51.936187772798924,51.936187772798924,60.911473940414126,80.01246410134961,86.43839417938395,68.58895003099622,56.2349545341757,70.15378976343501,70.15378976343501,46.69129572609355,57.149216095173074,60.35391618991645,51.073545671242826,43.89327337201785,51.93618777279892,51.93618777279892
5,IND,India,4580248.4,4559136.4,4620790.8,4661154.9,4621416.8,114506210.00000001,113978410.00000001,115519770.0,116528872.50000001,115535420.0,4608549.46,23042747.3,115213736.5,576068682.5,India,6219886.52634443,5309412.94451465,6228450.87659688,6589798.10520638,7501555.95965272,155497163.15861073,132735323.61286625,155711271.914922,164744952.6301595,187538898.991318,6369820.882463013,31849104.412315063,159245522.0615753,796227610.3078765,-1639638.1263444293,-750276.5445146495,-1607660.0765968803,-1928643.2052063793,-2880139.15965272,-1761271.4224630129,-8806357.112315062,-40990953.15861072,-18756913.612866238,-40191501.914922,-48216080.13015948,-72003478.99131799,-44031785.56157529,-220158927.80787647,30.363289672333842,15.205406961493981,29.636358457472596,34.28408605589055,47.515394396303606,32.08620892757876,32.086208927578745,-35.79801755608777,-16.456549633273738,-34.79188187002278,-41.37693868973072,-62.32156250552256,-38.21747900830846,-38.21747900830845,30.36328967233383,15.205406961493978,29.636358457472582,34.28408605589055,47.51539439630359,32.08620892757874,32.08620892757874,-35.79801755608775,-16.456549633273738,-34.79188187002277,-41.376938689730714,-62.32156250552254,-38.21747900830844,-38.21747900830844
6,IRN,Iran (Islamic Republic of),116486.7,131008.5,87233.59999999999,93936.6,96103.4,2912167.5,3275212.5,2180840.0,2348415.0,2402585.0,104953.76000000001,524768.8,2623844.0,13119220.0,Iran (Islamic Republic of),87744.0723308289,91801.2129468748,96202.1718903126,88757.4406581254,95001.9875257433,2193601.8082707226,2295030.32367187,2405054.297257815,2218936.016453135,2375049.6881435825,91901.37707037701,459506.88535188505,2297534.426759425,11487672.133797126,28742.627669171095,39207.2870531252,-8968.57189031261,5179.159341874605,1101.4124742566928,13052.382929622996,65261.914648114995,718565.6917292774,980182.1763281301,-224214.29725781502,129478.98354686517,27535.31185641745,326309.5732405749,1631547.866202874,28.147205576455985,35.19351695630389,9.778432851881764,5.669762760971874,1.1526754829016261,13.260901517603457,13.26090151760346,24.674600335635823,29.92728491137995,-10.281097983245688,5.513462635303604,1.1460702475216202,12.436317602745243,12.436317602745245,28.14720557645598,35.19351695630389,9.778432851881755,5.669762760971877,1.1526754829016317,13.260901517603457,13.260901517603454,24.674600335635823,29.927284911379953,-10.281097983245676,5.513462635303606,1.1460702475216256,12.436317602745243,12.436317602745241
7,ITA,Italy,114574.8,118003.0,118003.0,109463.8,110895.1,2864370.0,2950075.0,2950075.0,2736595.0,2772377.5,114187.93999999999,570939.7,2854698.5,14273492.5,Italy,49959.6812985464,49377.8520703272,54436.7859804486,44699.0167951368,45669.1446588018,1248992.03246366,1234446.30175818,1360919.649511215,1117475.41987842,1141728.616470045,48828.49616065216,244142.4808032608,1220712.404016304,6103562.02008152,64615.118701453604,68625.14792967279,63566.2140195514,64764.783204863204,65225.955341198205,65359.44383934783,326797.21919673914,1615377.96753634,1715628.69824182,1589155.350488785,1619119.58012158,1630648.883529955,1633986.095983696,8169930.47991848,78.5429512300343,81.99880342446704,73.72569347396268,84.0212764027626,83.32164918413419,80.1875508736264,80.1875508736264,56.395576253638325,58.15542649735412,53.86830336478853,59.16548046464969,58.81770731186337,57.23848231200933,57.23848231200933,78.54295123003429,81.99880342446706,73.72569347396268,84.0212764027626,83.3216491841342,80.1875508736264,80.1875508736264,56.395576253638325,58.155426497354135,53.86830336478852,59.16548046464969,58.81770731186337,57.23848231200934,57.23848231200934
8,JPN,Japan,330353.1,326403.0,323700.30000000005,322245.0,320581.8,8258827.499999999,8160075.0,8092507.500000001,8056125.0,8014545.0,324656.64,1623283.2,8116416.0,40582080.0,Japan,230546.493342795,228413.332287157,270893.483091301,154825.24345954,233205.625716583,5763662.333569875,5710333.307178926,6772337.077282525,3870631.0864885002,5830140.642914575,223576.8355794752,1117884.177897376,5589420.88948688,27947104.4474344,99806.60665720497,97989.66771284299,52806.81690869905,167419.75654046,87376.174283417,101079.8044205248,505399.02210262395,2495165.166430124,2449741.6928210743,1320170.4227174763,4185493.9135114998,2184404.3570854254,2526995.11051312,12634975.5525656,35.588047430160266,35.3232816016405,17.76231720222694,70.18662716265544,31.555853465020473,36.87472907913361,36.87472907913361,30.212099313493646,30.02106834583107,16.3134902589522,51.95418285480302,27.255500556618312,31.134371507240633,31.134371507240633,35.588047430160266,35.3232816016405,17.76231720222694,70.18662716265544,31.555853465020473,36.87472907913361,36.874729079133616,30.212099313493646,30.021068345831065,16.3134902589522,51.95418285480302,27.255500556618315,31.134371507240633,31.134371507240637
9,KHM,Cambodia,436826.0,459003.10000000003,473745.3,479362.7,468378.89999999997,10920650.0,11475077.5,11843632.5,11984067.5,11709472.5,463463.2,2317316.0,11586580.0,57932900.0,Cambodia,495469.83735911,573169.841799898,451704.484939606,559261.004817081,594727.66921688,12386745.933977751,14329246.044997448,11292612.12349015,13981525.120427025,14868191.730422,534866.567626515,2674332.838132575,13371664.190662874,66858320.95331437,-58643.83735911001,-114166.74179989792,22040.815060394,-79898.30481708102,-126348.76921688003,-71403.36762651504,-357016.83813257515,-1466095.933977751,-2854168.544997448,551020.3765098508,-1997457.6204270255,-3158719.2304219995,-1785084.190662874,-8925420.953314371,12.58052111982584,22.121630431585338,4.763265477841645,15.385419078443322,23.769727866502183,14.304565473645726,14.304565473645726,-13.424987834769453,-24.87276051074555,4.65246094481444,-16.667609894779257,-26.97576026949123,-15.406480520247356,-15.406480520247353,12.580521119825846,22.12163043158534,4.763265477841653,15.385419078443322,23.769727866502176,14.304565473645708,14.304565473645713,-13.42498783476946,-24.872760510745554,4.652460944814447,-16.667609894779257,-26.97576026949121,-15.406480520247337,-15.40648052024734
